epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.0375,1.81072,2.5132,1.617,0.44711,0.25716,0.29311,0.14218,1.95616,2.68675,1.7996,0.0669297,0.000166182,0.000166182
2,99.6697,1.65944,1.91464,1.54267,0.53368,0.39362,0.41256,0.21581,1.75686,1.93522,1.62123,0.0337609,0.000330652,0.000330652
3,155.333,1.61079,1.76062,1.4965,0.49172,0.3944,0.39499,0.20851,1.80922,2.05211,1.62498,0.000589821,0.000492922,0.000492922
4,211.508,1.57213,1.66642,1.49095,0.72023,0.41861,0.48598,0.255,1.67322,1.88213,1.54132,0.0004901,0.0004901,0.0004901
5,268.152,1.5413,1.59858,1.46869,0.7967,0.41034,0.48655,0.26133,1.71745,1.68411,1.53599,0.0004868,0.0004868,0.0004868
6,325.694,1.5105,1.51697,1.43875,0.72883,0.43985,0.50413,0.26278,1.68781,1.66444,1.51896,0.0004835,0.0004835,0.0004835
7,383.018,1.49035,1.486,1.43771,0.79995,0.46023,0.52947,0.28286,1.72707,1.59076,1.53165,0.0004802,0.0004802,0.0004802
8,430.479,1.45774,1.42648,1.40778,0.65274,0.49009,0.544,0.29608,1.63543,1.53711,1.51518,0.0004769,0.0004769,0.0004769
9,479.184,1.44869,1.38494,1.39105,0.67004,0.47599,0.54514,0.2983,1.6377,1.68941,1.47336,0.0004736,0.0004736,0.0004736
10,525.786,1.42307,1.35807,1.38017,0.61178,0.47751,0.51901,0.28845,1.64865,1.56821,1.49542,0.0004703,0.0004703,0.0004703
11,571.918,1.40963,1.34001,1.37573,0.69778,0.46893,0.54944,0.2993,1.63605,1.51452,1.48665,0.000467,0.000467,0.000467
12,617.816,1.40364,1.32386,1.36126,0.75964,0.46583,0.54553,0.30295,1.64849,1.53487,1.48209,0.0004637,0.0004637,0.0004637
13,664.205,1.37432,1.28163,1.34617,0.64881,0.52197,0.55958,0.30473,1.6659,1.49344,1.51081,0.0004604,0.0004604,0.0004604
14,723.695,1.36511,1.2446,1.33375,0.65557,0.5266,0.58698,0.32566,1.6173,1.42358,1.46727,0.0004571,0.0004571,0.0004571
15,770.473,1.35436,1.24734,1.33883,0.72085,0.49788,0.58286,0.3253,1.6239,1.39559,1.43582,0.0004538,0.0004538,0.0004538
16,817.139,1.32904,1.2158,1.31558,0.61481,0.54438,0.59071,0.33013,1.58817,1.39477,1.45044,0.0004505,0.0004505,0.0004505
17,862.635,1.34015,1.20823,1.31852,0.63252,0.55367,0.58564,0.31612,1.61273,1.42622,1.45322,0.0004472,0.0004472,0.0004472
18,904.958,1.33348,1.20097,1.32024,0.52657,0.57052,0.58012,0.32538,1.59609,1.40978,1.4439,0.0004439,0.0004439,0.0004439
19,947.528,1.32351,1.18025,1.30701,0.62495,0.55753,0.60225,0.33973,1.58319,1.35488,1.43048,0.0004406,0.0004406,0.0004406
20,989.695,1.29179,1.13498,1.28639,0.64424,0.56181,0.6004,0.34387,1.57722,1.38835,1.45156,0.0004373,0.0004373,0.0004373
21,1040.53,1.30926,1.16694,1.30216,0.64526,0.55069,0.60356,0.33556,1.59441,1.36656,1.44255,0.000434,0.000434,0.000434
22,1083.18,1.29434,1.13423,1.29333,0.67867,0.5399,0.60276,0.35051,1.52787,1.35567,1.40306,0.0004307,0.0004307,0.0004307
23,1125.48,1.28769,1.12192,1.29058,0.70008,0.56373,0.61582,0.35008,1.55901,1.32932,1.41165,0.0004274,0.0004274,0.0004274
24,1167.64,1.27518,1.0999,1.27832,0.64023,0.56245,0.61998,0.35256,1.55465,1.29817,1.4163,0.0004241,0.0004241,0.0004241
25,1209.62,1.26941,1.09945,1.27078,0.63145,0.5544,0.60564,0.34333,1.53634,1.31042,1.40724,0.0004208,0.0004208,0.0004208
26,1251.81,1.25288,1.08622,1.26149,0.65996,0.56415,0.6108,0.35166,1.54548,1.30586,1.3952,0.0004175,0.0004175,0.0004175
27,1293.73,1.24286,1.04727,1.25912,0.67145,0.55993,0.60095,0.33528,1.58476,1.3405,1.42745,0.0004142,0.0004142,0.0004142
